priority,name,channel_type,audience,allowed_action,contact_or_submission_url,cost_signal,permission_basis,hirelix_fit,status
1,SourcrLab,recruitment-tech directory,Recruitment technology buyers,Submit Hirelix for listing,https://sourcrlab.com/submit,Free submission stated,Page explicitly says Submit Your Tool and free listing,Very high,prefilled_awaiting_submit_confirmation
2,RecruitsAgent,recruitment-tool directory,Recruiters comparing tools,Submit Hirelix for a basic listing,https://recruitsagent.com/vendors/list-your-tool,Free basic listing stated,Page explicitly invites vendors to list recruitment tools,Very high,prefilled_awaiting_submit_confirmation
3,AI Recruiter Lab,AI recruiting-tool directory,Hiring professionals seeking AI tools,Submit Hirelix as a tool,https://airecruiterlab.com/submit-tool,One-time $97 fee verified,Page explicitly invites AI-tool submissions but requires payment,Very high,blocked_pending_budget_approval
4,Free Recruiting Software,recruiting-software directory,Recruiters seeking software,Submit Hirelix software listing,https://free-recruiting-software.com/submit,Free submission stated,Directory explicitly exposes Submit Software,High,prefilled_awaiting_terms_and_submit_confirmation
5,SHRM Human Resource Vendor Directory,HR vendor directory,HR and talent-acquisition buyers,List Hirelix as a company and product,https://vendordirectory.shrm.org/addyourcompany,Free basic listing verified with no credit card,Vendor directory explicitly invites companies to add listings,High,prefilled_blocked_phone_required
6,OneReq,TA community newsletter,Talent-acquisition professionals,Request newsletter sponsorship,https://onereq.com/sponsorships/monthly-newsletter-sponsorship/,Paid,Page explicitly offers sponsorship to brands and solutions,High,ready_for_budget_review
7,Recruiters Network,recruiter community,Recruiters and HR professionals,Apply as a sponsor,https://www.recruiters.network/sponsors,Unknown,Page explicitly invites sponsor relationships,High,ready_for_budget_review
8,Workology,HR newsletter,HR and talent-acquisition decision makers,Request newsletter sponsorship,https://go.workology.com/newsletter-sponsor/,Paid,Page explicitly offers newsletter and eblast sponsorship,High,ready_for_budget_review
9,Recruiting Future,recruiting podcast,Senior talent-acquisition professionals,Request podcast sponsorship,https://recruitingfuture.com/sponsorship/,Paid,Page explicitly describes sponsorship opportunities,High,ready_for_budget_review
10,1% Better Recruitment Podcast,recruitment podcast,Recruitment agency operators,Use sponsor or contact page,https://www.the1percentbetterecruitmentpodcast.com/sponsors/,Unknown,Site maintains an explicit sponsors page and contact route,High,ready_for_outreach_review
